,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61
Cricket_X,ShapesAll,ItalyPowerDemand,Trace,ECGFiveDays,MiddlePhalanxTW,MiddlePhalanxOutlineCorrect,LargeKitchenAppliances,WordsSynonyms,Lighting2,ShapeletSim,SmallKitchenAppliances,ProximalPhalanxOutlineAgeGroup,ScreenType,InlineSkate,TwoLeadECG,Worms,BeetleFly,FaceAll,SonyAIBORobotSurfaceII,ProximalPhalanxOutlineCorrect,MoteStrain,50words,DistalPhalanxTW,Lighting7,BirdChicken,synthetic_control,Symbols,MedicalImages,ECG200,ProximalPhalanxTW,Adiac,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,Ham,ToeSegmentation1,Computers,RefrigerationDevices,SonyAIBORobotSurface,CBF,DistalPhalanxOutlineCorrect,OSULeaf,SwedishLeaf,Cricket_Y,Cricket_Z,Plane,Earthquakes,DiatomSizeReduction,Car,OliveOil,Haptics,FISH,Gun_Point,Beef,Meat,Strawberry,ArrowHead,FaceFour,WormsTwoClass,Herring,Coffee,Wine
Cricket_Y,Trace,ShapesAll,TwoLeadECG,Worms,ECGFiveDays,RefrigerationDevices,ECG200,FaceAll,ToeSegmentation1,InlineSkate,synthetic_control,SmallKitchenAppliances,OSULeaf,ShapeletSim,ItalyPowerDemand,SonyAIBORobotSurfaceII,50words,Symbols,MoteStrain,ScreenType,DistalPhalanxOutlineAgeGroup,DistalPhalanxTW,LargeKitchenAppliances,WordsSynonyms,SonyAIBORobotSurface,BeetleFly,Computers,Lighting7,WormsTwoClass,Adiac,BirdChicken,ProximalPhalanxTW,MedicalImages,MiddlePhalanxTW,DistalPhalanxOutlineCorrect,SwedishLeaf,Cricket_X,Cricket_Z,ProximalPhalanxOutlineAgeGroup,Plane,MiddlePhalanxOutlineAgeGroup,CBF,Strawberry,Earthquakes,Meat,DiatomSizeReduction,Ham,Car,MiddlePhalanxOutlineCorrect,OliveOil,Lighting2,Haptics,FISH,ProximalPhalanxOutlineCorrect,Gun_Point,Beef,ArrowHead,FaceFour,Herring,Coffee,Wine
Cricket_Z,ShapesAll,synthetic_control,ECG200,Trace,Worms,ECGFiveDays,SmallKitchenAppliances,ShapeletSim,InlineSkate,WordsSynonyms,Adiac,TwoLeadECG,ItalyPowerDemand,Symbols,BirdChicken,MoteStrain,MiddlePhalanxTW,ToeSegmentation1,BeetleFly,50words,FaceAll,LargeKitchenAppliances,OSULeaf,MedicalImages,DistalPhalanxTW,MiddlePhalanxOutlineAgeGroup,SonyAIBORobotSurface,SwedishLeaf,Plane,SonyAIBORobotSurfaceII,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxTW,RefrigerationDevices,Lighting2,ScreenType,Ham,DistalPhalanxOutlineAgeGroup,Lighting7,Computers,DiatomSizeReduction,Cricket_X,Cricket_Y,Car,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineCorrect,CBF,FISH,Earthquakes,Haptics,ProximalPhalanxOutlineCorrect,OliveOil,Gun_Point,Beef,Herring,FaceFour,Meat,Strawberry,ArrowHead,WormsTwoClass,Coffee,Wine
DiatomSizeReduction,ShapesAll,RefrigerationDevices,Adiac,synthetic_control,SwedishLeaf,FISH,OSULeaf,Symbols,Car,BeetleFly,Herring,50words,Cricket_Z,ShapeletSim,Cricket_Y,Plane,Cricket_X,WordsSynonyms,Haptics,BirdChicken,FaceAll,InlineSkate,Earthquakes,MedicalImages,Trace,FaceFour,DistalPhalanxTW,Worms,SmallKitchenAppliances,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,LargeKitchenAppliances,ToeSegmentation1,ScreenType,SonyAIBORobotSurface,ECG200,TwoLeadECG,MoteStrain,DistalPhalanxOutlineAgeGroup,ItalyPowerDemand,ECGFiveDays,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,OliveOil,Beef,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,Meat,ArrowHead,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine
DistalPhalanxOutlineAgeGroup,WordsSynonyms,Earthquakes,LargeKitchenAppliances,Cricket_X,Lighting7,ToeSegmentation1,FaceAll,CBF,InlineSkate,MedicalImages,Symbols,Cricket_Y,Computers,50words,ShapesAll,ScreenType,RefrigerationDevices,SonyAIBORobotSurfaceII,Ham,Cricket_Z,synthetic_control,Lighting2,ECGFiveDays,ItalyPowerDemand,MoteStrain,SmallKitchenAppliances,Adiac,Worms,TwoLeadECG,DistalPhalanxTW,OliveOil,ECG200,OSULeaf,Gun_Point,SwedishLeaf,MiddlePhalanxTW,SonyAIBORobotSurface,Beef,Trace,ProximalPhalanxTW,Strawberry,Meat,MiddlePhalanxOutlineAgeGroup,Plane,Haptics,DistalPhalanxOutlineCorrect,WormsTwoClass,FISH,ArrowHead,MiddlePhalanxOutlineCorrect,Car,ProximalPhalanxOutlineAgeGroup,DiatomSizeReduction,ShapeletSim,FaceFour,Coffee,Wine,ProximalPhalanxOutlineCorrect,BeetleFly,BirdChicken,Herring
DistalPhalanxOutlineCorrect,Ham,MoteStrain,MedicalImages,InlineSkate,Lighting2,RefrigerationDevices,FaceAll,Lighting7,ShapesAll,Cricket_X,Computers,50words,Cricket_Z,ScreenType,CBF,ItalyPowerDemand,WordsSynonyms,Symbols,synthetic_control,Earthquakes,Cricket_Y,SonyAIBORobotSurfaceII,ECGFiveDays,LargeKitchenAppliances,ToeSegmentation1,Adiac,OliveOil,SmallKitchenAppliances,Worms,SwedishLeaf,Gun_Point,MiddlePhalanxTW,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,TwoLeadECG,Beef,ProximalPhalanxTW,Strawberry,OSULeaf,Trace,Meat,MiddlePhalanxOutlineAgeGroup,ECG200,Haptics,Plane,WormsTwoClass,FISH,SonyAIBORobotSurface,ArrowHead,MiddlePhalanxOutlineCorrect,ProximalPhalanxOutlineAgeGroup,Car,DiatomSizeReduction,FaceFour,Coffee,ShapeletSim,Wine,ProximalPhalanxOutlineCorrect,BirdChicken,BeetleFly,Herring
DistalPhalanxTW,LargeKitchenAppliances,InlineSkate,Symbols,RefrigerationDevices,FaceAll,50words,Strawberry,Computers,ScreenType,Cricket_Y,Cricket_X,MedicalImages,ShapesAll,Lighting7,WordsSynonyms,CBF,ToeSegmentation1,Earthquakes,Cricket_Z,SmallKitchenAppliances,SonyAIBORobotSurfaceII,ECGFiveDays,Ham,MoteStrain,ItalyPowerDemand,OliveOil,TwoLeadECG,Worms,Lighting2,synthetic_control,Adiac,ECG200,Gun_Point,OSULeaf,SonyAIBORobotSurface,DistalPhalanxOutlineAgeGroup,SwedishLeaf,Trace,WormsTwoClass,MiddlePhalanxTW,Beef,Meat,ProximalPhalanxTW,Plane,Haptics,FISH,MiddlePhalanxOutlineAgeGroup,ArrowHead,Car,DistalPhalanxOutlineCorrect,ShapeletSim,DiatomSizeReduction,ProximalPhalanxOutlineAgeGroup,Coffee,FaceFour,Wine,MiddlePhalanxOutlineCorrect,BeetleFly,BirdChicken,ProximalPhalanxOutlineCorrect,Herring
ECG200,ShapesAll,Cricket_Y,SonyAIBORobotSurfaceII,Cricket_Z,synthetic_control,TwoLeadECG,SonyAIBORobotSurface,Worms,Cricket_X,Trace,InlineSkate,OSULeaf,Symbols,ItalyPowerDemand,SmallKitchenAppliances,ECGFiveDays,LargeKitchenAppliances,DistalPhalanxTW,ShapeletSim,FaceAll,MoteStrain,ScreenType,BeetleFly,RefrigerationDevices,Adiac,ToeSegmentation1,50words,DistalPhalanxOutlineAgeGroup,MedicalImages,Computers,ProximalPhalanxTW,MiddlePhalanxTW,Lighting7,BirdChicken,WordsSynonyms,DistalPhalanxOutlineCorrect,MiddlePhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,SwedishLeaf,CBF,Earthquakes,Ham,MiddlePhalanxOutlineCorrect,Plane,Lighting2,Haptics,Car,DiatomSizeReduction,OliveOil,ProximalPhalanxOutlineCorrect,FISH,Beef,Gun_Point,FaceFour,Meat,Strawberry,WormsTwoClass,ArrowHead,Herring,Coffee,Wine
ECGFiveDays,ScreenType,Cricket_Z,ShapesAll,SmallKitchenAppliances,Cricket_X,ItalyPowerDemand,Symbols,Cricket_Y,FaceAll,InlineSkate,DistalPhalanxTW,TwoLeadECG,LargeKitchenAppliances,Worms,ProximalPhalanxTW,Computers,Lighting7,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,MedicalImages,MiddlePhalanxTW,ToeSegmentation1,MoteStrain,50words,ECG200,RefrigerationDevices,WordsSynonyms,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineAgeGroup,SonyAIBORobotSurface,OSULeaf,CBF,Earthquakes,Adiac,SonyAIBORobotSurfaceII,Ham,MiddlePhalanxOutlineCorrect,synthetic_control,Lighting2,Trace,SwedishLeaf,ProximalPhalanxOutlineCorrect,OliveOil,Haptics,Plane,Gun_Point,ShapeletSim,Beef,FISH,Meat,Car,Strawberry,BeetleFly,DiatomSizeReduction,WormsTwoClass,BirdChicken,FaceFour,ArrowHead,Coffee,Wine,Herring
Earthquakes,FISH,SwedishLeaf,Symbols,Adiac,DistalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineAgeGroup,DistalPhalanxTW,MiddlePhalanxOutlineAgeGroup,MedicalImages,ShapesAll,MiddlePhalanxTW,FaceAll,DiatomSizeReduction,Lighting7,Cricket_X,OSULeaf,CBF,Computers,50words,ProximalPhalanxTW,RefrigerationDevices,SonyAIBORobotSurfaceII,Cricket_Z,Cricket_Y,InlineSkate,WordsSynonyms,MiddlePhalanxOutlineCorrect,Ham,Plane,Car,synthetic_control,DistalPhalanxOutlineCorrect,MoteStrain,ScreenType,FaceFour,Trace,Haptics,Worms,ItalyPowerDemand,SmallKitchenAppliances,LargeKitchenAppliances,ECGFiveDays,Lighting2,ToeSegmentation1,ShapeletSim,BeetleFly,BirdChicken,SonyAIBORobotSurface,ECG200,Herring,TwoLeadECG,ProximalPhalanxOutlineCorrect,OliveOil,Beef,Gun_Point,Meat,ArrowHead,Strawberry,WormsTwoClass,Coffee,Wine
FISH,SwedishLeaf,Symbols,Earthquakes,ShapesAll,Herring,Adiac,DiatomSizeReduction,OSULeaf,BeetleFly,RefrigerationDevices,Car,Cricket_Z,50words,Plane,Cricket_Y,Cricket_X,WordsSynonyms,Haptics,synthetic_control,BirdChicken,FaceAll,InlineSkate,FaceFour,Trace,MedicalImages,Worms,DistalPhalanxTW,SmallKitchenAppliances,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,ShapeletSim,LargeKitchenAppliances,ToeSegmentation1,ScreenType,SonyAIBORobotSurface,ECG200,TwoLeadECG,MoteStrain,DistalPhalanxOutlineAgeGroup,ItalyPowerDemand,ECGFiveDays,SonyAIBORobotSurfaceII,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,OliveOil,Beef,Ham,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,Meat,ArrowHead,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine
FaceAll,50words,WordsSynonyms,Cricket_Y,Lighting7,CBF,LargeKitchenAppliances,ECGFiveDays,ScreenType,DistalPhalanxTW,ItalyPowerDemand,ProximalPhalanxTW,MiddlePhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,ShapesAll,InlineSkate,ToeSegmentation1,Symbols,WormsTwoClass,Cricket_X,ProximalPhalanxOutlineAgeGroup,Computers,OliveOil,MiddlePhalanxTW,Strawberry,MedicalImages,DistalPhalanxOutlineCorrect,Cricket_Z,RefrigerationDevices,MoteStrain,Lighting2,ProximalPhalanxOutlineCorrect,SonyAIBORobotSurfaceII,Earthquakes,MiddlePhalanxOutlineAgeGroup,Ham,Gun_Point,SmallKitchenAppliances,Adiac,Worms,Meat,synthetic_control,SwedishLeaf,TwoLeadECG,Beef,OSULeaf,ECG200,Trace,Plane,Haptics,FISH,ArrowHead,SonyAIBORobotSurface,Car,DiatomSizeReduction,Coffee,Wine,FaceFour,ShapeletSim,BirdChicken,BeetleFly,Herring
FaceFour,Plane,SwedishLeaf,ShapesAll,OSULeaf,FISH,Symbols,Adiac,Herring,Earthquakes,DiatomSizeReduction,RefrigerationDevices,BeetleFly,Car,Cricket_Z,50words,Cricket_Y,Cricket_X,BirdChicken,Haptics,synthetic_control,WordsSynonyms,FaceAll,InlineSkate,Trace,MedicalImages,Worms,DistalPhalanxTW,ShapeletSim,SmallKitchenAppliances,Lighting7,MiddlePhalanxTW,ProximalPhalanxTW,ToeSegmentation1,LargeKitchenAppliances,SonyAIBORobotSurface,ECG200,MoteStrain,ScreenType,TwoLeadECG,DistalPhalanxOutlineAgeGroup,SonyAIBORobotSurfaceII,ItalyPowerDemand,ECGFiveDays,MiddlePhalanxOutlineAgeGroup,Computers,ProximalPhalanxOutlineAgeGroup,CBF,DistalPhalanxOutlineCorrect,OliveOil,Ham,Beef,MiddlePhalanxOutlineCorrect,Lighting2,ProximalPhalanxOutlineCorrect,Meat,ArrowHead,Gun_Point,Strawberry,WormsTwoClass,Coffee,Wine
Gun_Point,50words,ProximalPhalanxOutlineAgeGroup,ShapesAll,WordsSynonyms,OliveOil,Worms,MedicalImages,FaceAll,ProximalPhalanxOutlineCorrect,Lighting7,CBF,ProximalPhalanxTW,Cricket_X,Adiac,Cricket_Z,MiddlePhalanxTW,Strawberry,DistalPhalanxTW,Cricket_Y,Lighting2,SwedishLeaf,synthetic_control,InlineSkate,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Beef,WormsTwoClass,Symbols,Ham,Meat,RefrigerationDevices,OSULeaf,Plane,DistalPhalanxOutlineCorrect,Trace,ScreenType,FISH,Haptics,LargeKitchenAppliances,SonyAIBORobotSurfaceII,SmallKitchenAppliances,ArrowHead,Car,Computers,DiatomSizeReduction,MoteStrain,ECGFiveDays,Earthquakes,ItalyPowerDemand,FaceFour,ToeSegmentation1,SonyAIBORobotSurface,ECG200,Coffee,ShapeletSim,TwoLeadECG,Wine,BirdChicken,BeetleFly,Herring
Ham,MiddlePhalanxTW,ProximalPhalanxTW,DistalPhalanxOutlineCorrect,Cricket_X,MedicalImages,ProximalPhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,Cricket_Z,FaceAll,ShapesAll,MiddlePhalanxOutlineAgeGroup,Lighting2,SonyAIBORobotSurfaceII,50words,RefrigerationDevices,WordsSynonyms,Lighting7,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,CBF,synthetic_control,Earthquakes,Symbols,InlineSkate,Adiac,Computers,Cricket_Y,ScreenType,ProximalPhalanxOutlineCorrect,MoteStrain,SwedishLeaf,OliveOil,ItalyPowerDemand,ECGFiveDays,Worms,LargeKitchenAppliances,Beef,Gun_Point,OSULeaf,Plane,Haptics,Trace,SmallKitchenAppliances,FISH,ToeSegmentation1,Meat,Strawberry,Car,ArrowHead,DiatomSizeReduction,TwoLeadECG,WormsTwoClass,FaceFour,ECG200,SonyAIBORobotSurface,Coffee,ShapeletSim,Wine,BirdChicken,BeetleFly,Herring
Haptics,Worms,50words,ArrowHead,Wine,Coffee,Beef,WordsSynonyms,MedicalImages,BirdChicken,Meat,Adiac,synthetic_control,FaceAll,WormsTwoClass,Cricket_Y,ShapesAll,Lighting7,Strawberry,OliveOil,MiddlePhalanxTW,DistalPhalanxTW,ProximalPhalanxTW,Gun_Point,CBF,Cricket_X,ProximalPhalanxOutlineAgeGroup,Cricket_Z,ProximalPhalanxOutlineCorrect,Lighting2,InlineSkate,MiddlePhalanxOutlineAgeGroup,DistalPhalanxOutlineAgeGroup,Car,MiddlePhalanxOutlineCorrect,SwedishLeaf,Ham,RefrigerationDevices,Symbols,DistalPhalanxOutlineCorrect,OSULeaf,ScreenType,LargeKitchenAppliances,Computers,SonyAIBORobotSurfaceII,Trace,SmallKitchenAppliances,FISH,ItalyPowerDemand,ECGFiveDays,MoteStrain,Earthquakes,Plane,DiatomSizeReduction,ToeSegmentation1,TwoLeadECG,ECG200,SonyAIBORobotSurface,BeetleFly,ShapeletSim,FaceFour,Herring
